episode,problem,code,reward,steps,code_length
0,luckybal," of\n:\n/ ::

 (

 :

::

: ※: ※
:













:












































































",0.0,50,126
1,brcktsrm," of:- \n  \n:

▓1

- 


:






.:












































































```












```




",0.0,50,135
2,1101_A. Minimum Integer," line: 
 

\n ,: -








大大小


кции

















",0.2,28,55
3,1060_A. Phone Numbers," "" \n 
 
  

:

1
, 



区管委会




:
















",0.2,31,51
4,1060_A. Phone Numbers," ""
: ( /2::
- ▓
刻:   A 





区管委会范









Let







































































































",0.0,50,151
5,prpaln," on


A,

区管委会
大切

 
,























",0.1,24,46
6,luckybal," of
: , 1: (  : 


区管委会
  ::区管委会анию,:initComponents
",0.30000000000000004,28,53
7,1513_C. Add One," give/ :  -
.AbsoluteConstraints

大切�数整治JSGlobalScope",0.30000000000000004,16,53
8,gcd2,"6 \n 

( :,[
:
 “:/ (







:A,  ※:

※




:


````````````














``````














```




",0.0,50,104
9,1540_C1. Converging Array (Easy Version)," i(
\n 
/  . 
 \n

区管委会


кциикции



анию




",0.1,28,48
10,1398_A. Bad Triangle," a - \nA
 -: 

\n
:A
: 

 :



нные
















Given:

",0.30000000000000004,35,60
11,comm3," is
-: 
 
 - : (:▓\n:<|fim_pad|>\n



: ※
::
:",0.2,32,46
12,brcktsrm," of

  :: : (  ,: (.,:

 (:
.AbsoluteConstraints


нные.AbsoluteConstraints

::






```",0.30000000000000004,36,89
13,gcd2," digits: /
AA:   ( -s1

 
2\n 1s 
 .AbsoluteConstraints

\n

.AbsoluteConstraints



G





",0.30000000000000004,41,94
14,1037_E. Trips," trip  (
:\n 


 


 ※ 

大大小 ※





",0.2,20,36
15,1060_A. Phone Numbers," ""
 ,   
A ,-
 

 :

 "": �



нные� ※.AbsoluteConstraints




",0.30000000000000004,33,62
16,1490_G. Old Floppy Drive ,";
 “2 . ,2.[  \n \n
-  
 区管委会1

кции


нные

",0.1,30,45
17,168_A. Wizards and Demonstration," We ( (
 

  A

 
笑



анию.AbsoluteConstraints

































",0.1,30,81
18,brcktsrm," of\n

:
/\n
▓
\n-大切
. 
:
大大小



















",0.2,35,49
19,1513_C. Add One," output<|fim_pad|> 
大大小 大切



大赛
大赛 Ла
笑
大赛







",0.1,22,51
